station_id,name,address,evcs_mode_1,charging_protocol_1,evcs_mode_2,charging_protocol_2,longitude_latitude_z,longitude,latitude,city,province
evcs0297,S Maison,"S Maison, Basement Parking, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5692642,120.9580004,12z",14.5692642,120.9580004,Pasay City, National Capital Region - Fourth District
evcs0298,EVOxCharge - Inhub Station,"Afp-Rsbs Industrial ParkTdg In.Hub Building/ 1st Floor, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,Mode 4 (DC),GB/T DC,"14.5687281,121.0257922,13z",14.5687281,121.0257922,Taguig, Taguig - Pateros
evcs0299,Okada Manila Parking,"New Seaside Drive, Okada Manila Ground Floor Parking, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.56824,120.9580405,12z",14.56824,120.9580405,Parañaque City, National Capital Region - Fourth District
evcs0300,Okada Manila,"Lower Ground Floor Parking, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.56824,120.9573144,12z",14.56824,120.9573144,Parañaque City, National Capital Region - Fourth District
evcs0301,ACMobility EV Charging Hub - Arca South Estate Parking,"East Union Dr, Gf, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"14.5656506,121.0327274,13z",14.5656506,121.0327274,Taguig, Taguig - Pateros
evcs0302,ACMobility EV Charging Hub - Landers Superstore Arca South,"Lot 8-B Arca Boulevard, Arca South, Gf, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5656396,121.032573,13z",14.5656396,121.032573,Taguig, Taguig - Pateros
evcs0303,ACMobility EV Charging Hub - Arbor Lanes,"Arca South Nexus St, B1, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5627794,120.9845902,12z",14.5627794,120.9845902,Taguig, Taguig - Pateros
evcs0304,Gogoro Philippines Inc. - City of Parañaque,"Ninoy Aquino Ave, 113, Santo Niño, City Of Parañaque, National Capital Region - Fourth District",BSS,,,,"14.560776,120.9669448,12z",14.560776,120.9669448,Parañaque City, National Capital Region - Fourth District
evcs0305,ACMobility EV Charging Hub - Healthway Cancer Care Hospital,"Lot 26 Bagsakan, Corner Crb Road, Basement 1 Parkingarea, Western Bicutan, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5565769,120.9962451,12z",14.5565769,120.9962451,Taguig, Taguig - Pateros
evcs0306,GET PHILIPPINES INC - AYALA MALLS MANILA BAY,"Ayala Malls Manila Bay, 4th Floor, Tambo, City Of Parañaque, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5556297,120.9607,12z",14.5556297,120.9607,Parañaque City, National Capital Region - Fourth District
evcs0307,V-Green PITX,"Manila Asiaworld Estate, Eisenhower Road, Parking Lot, Don Galo, City Of Parañaque, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5556297,120.9598896,12z",14.5556297,120.9598896,Parañaque City, National Capital Region - Fourth District
evcs0308,SM City Bicutan,"Doña Soledad Avenue, Sm City Bicutan, Upper Ground Carpark Building B, Don Bosco, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.55506,120.9860064,12z",14.55506,120.9860064,Parañaque City, National Capital Region - Fourth District
evcs0309,SM City Sucat,"Sm City Sucat, 3rd Floor, Building A, San Dionisio, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5546472,120.9637904,12z",14.5546472,120.9637904,Parañaque City, National Capital Region - Fourth District
evcs0310,SM City BF Parañaque,"Dr. A Santos Street Corner President'S Avenue, Sm City Bf Parañaque, 4th Level Carpark Building, B. F. Homes, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5395255,120.9764805,12z",14.5395255,120.9764805,Parañaque City, National Capital Region - Fourth District
evcs0311,SM Center Las Piñas,"Sm Center Las Pinas, Ground Floor, Covered Parking, Talon Dos, City Of Las Piñas, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5372736,120.9490187,12z",14.5372736,120.9490187,Las Piñas City, National Capital Region - Fourth District
evcs0312,SM City Bacoor,"Tirona Highway, Sm City Bacoor, Outdoor In Front Of Entrance 2, Habay Ii, Bacoor City, Cavite",Mode 3 (AC),Type 2,,,"14.5351834,120.9432083,12z",14.5351834,120.9432083,Bacoor City, Cavite
evcs0313,ACMobility EV Charging Hub - BPI BF Paranaque,"Corner Elsie Gaches StAguirre Avenue,, Gf, B. F. Homes, City Of Parañaque, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5350574,120.9764805,12z",14.5350574,120.9764805,Parañaque City, National Capital Region - Fourth District
evcs0314,V-Green GSM Las Pinas Depot,"J. Aguilar, Ground Floor, Parking, Talon Dos, City Of Las Piñas, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5349708,120.9490187,12z",14.5349708,120.9490187,Las Piñas City, National Capital Region - Fourth District
evcs0315,ACMobility EV Charging Hub - Ayala Malls Evo City - Loc1,"Centennial Rd, Gf, Tabon Iii, Kawit, Cavite",Mode 3 (AC),Type 2,,,"14.5328533,120.8361499,11z",14.5328533,120.8361499,Kawit, Cavite
evcs0316,ACMobility EV Charging Hub - Ayala Malls Evo City - Loc2,"Centennial Rd, Gf, Tabon Iii, Kawit, Cavite",Mode 3 (AC),Type 2,,,"14.5324647,120.8369648,11z",14.5324647,120.8369648,Kawit, Cavite
evcs0317,ACMobility EV Charging Hub - BYD Dealership Bacoor,"4562 Molino Blvd, Gf, Bayanan, Bacoor City, Cavite",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"14.5240871,120.948017,12z",14.5240871,120.948017,Bacoor City, Cavite
evcs0318,ACMobility EV Charging Hub - KIA Dealership Bacoor,"4652-B Molino Bacoor Blvd, Gf, Bayanan, Bacoor City, Cavite",Mode 3 (AC),Type 2,,,"14.5240871,120.948017,12z",14.5240871,120.948017,Bacoor City, Cavite
evcs0319,Solarius EV Charging - Crimson Hotel,"Crimson Hotel, Entrata Urban Complex, 2609 Civic Drive, Filinvest City Alabang, Crimson Hotel- 3rd Level, Alabang, City Of Muntinlupa, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5222871,120.9940106,12z",14.5222871,120.9940106,Muntinlupa City, National Capital Region - Fourth District
evcs0320,Amaia Steps Alabang,"Amaia Steps AlabangAlabang Zapote Road, Delicia Building (Ground Floor), Almanza Uno, City Of Las Piñas, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5222871,120.9764805,12z",14.5222871,120.9764805,Las Piñas City, National Capital Region - Fourth District
evcs0321,ACMobility EV Charging Hub - Alabang Town Center,"Alabang-Zapote Rd., 2nd Level Alabang Town Center Nec Parking, New Alabang Village, City Of Muntinlupa, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,GB/T AC,"14.5222871,120.9764805,12z",14.5222871,120.9764805,Muntinlupa City, National Capital Region - Fourth District
evcs0322,FORD ALABANG,"Filinvest City, 8409 Alabang-Zapote Road, Spectrum District, Ground Floor, Alabang, City Of Muntinlupa, National Capital Region - Fourth District",Mode 3 (AC),GB/T AC,,,"14.5222871,120.9764805,12z",14.5222871,120.9764805,Muntinlupa City, National Capital Region - Fourth District
evcs0323,SM Southmall,"Alabang - Zapote Road, Sm South Mall, South Tower Parking, Ground Level, Almanza Uno, City Of Las Piñas, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5222871,120.9725982,12z",14.5222871,120.9725982,Las Piñas City, National Capital Region - Fourth District
evcs0324,V-Green Colours Town Center,"Marcos Alvarez Avenue, Ground Floor, 1740, Talon Uno, City Of Las Piñas, National Capital Region - Fourth District",Mode 4 (DC),CCS Combo 2,,,"14.5222871,120.9490187,12z",14.5222871,120.9490187,Las Piñas City, National Capital Region - Fourth District
evcs0325,Solarius EV Charging - Somerset Alabang,"Parking Lot B2a-43409 Spectrum Midway, Basement 2a, Alabang, City Of Muntinlupa, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5219139,120.9764805,12z",14.5219139,120.9764805,Muntinlupa City, National Capital Region - Fourth District
